Image,Real_d_value_um,Predicted_d_value_um,Absolute_Error_um
IMG_20250922_174712.jpg,1.82,2.076171875,0.25617187499999994
IMG_20250922_174715.jpg,1.83,2.0234375,0.19343749999999993
IMG_20250922_174717.jpg,1.84,1.96875,0.12874999999999992
IMG_20250922_174720.jpg,1.85,2.017578125,0.1675781249999999
IMG_20250922_174723.jpg,1.86,2.04296875,0.1829687499999999
IMG_20250922_174726.jpg,1.87,2.1015625,0.2315624999999999
IMG_20250922_174728.jpg,1.88,2.052734375,0.1727343750000001
IMG_20250922_174918.jpg,1.89,2.10546875,0.2154687500000001
IMG_20250922_174954.jpg,1.9,1.943359375,0.04335937500000009
IMG_20250922_175002.jpg,1.91,2.1484375,0.23843750000000008
IMG_20250922_175007.jpg,1.92,2.173828125,0.25382812500000007
IMG_20250922_175011.jpg,1.93,2.06640625,0.13640625000000006
IMG_20250922_175015.jpg,1.94,2.18359375,0.24359375000000005
IMG_20250922_175018.jpg,1.95,2.1875,0.23750000000000004
IMG_20250922_175028.jpg,1.96,2.052734375,0.09273437500000004
IMG_20250922_175034.jpg,1.97,2.240234375,0.270234375
IMG_20250922_175037.jpg,1.98,2.212890625,0.23289062500000002
IMG_20250922_175042.jpg,1.99,2.2265625,0.2365625
IMG_20250922_175046.jpg,2.0,2.08984375,0.08984375
IMG_20250922_175056.jpg,2.01,2.154296875,0.1442968750000002
IMG_20250922_175100.jpg,2.02,2.130859375,0.11085937499999998
IMG_20250922_175104.jpg,2.03,2.12890625,0.0989062500000002
IMG_20250922_175112.jpg,2.04,2.265625,0.22562499999999996
IMG_20250922_175115.jpg,2.05,2.2265625,0.17656250000000018
IMG_20250922_175118.jpg,2.06,2.279296875,0.21929687499999995
IMG_20250922_175120.jpg,2.07,2.2734375,0.20343750000000016
IMG_20250922_175123.jpg,2.08,2.244140625,0.16414062499999993
IMG_20250922_175133.jpg,2.09,2.23828125,0.14828125000000014
IMG_20250922_175140.jpg,2.1,2.255859375,0.1558593749999999
IMG_20250922_175142.jpg,2.11,2.294921875,0.18492187500000012
IMG_20250922_175145.jpg,2.12,2.208984375,0.0889843749999999
IMG_20250922_175222.jpg,2.13,2.177734375,0.04773437500000011
IMG_20250922_175225.jpg,2.14,2.337890625,0.19789062499999988
IMG_20250922_175227.jpg,2.15,2.275390625,0.1253906250000001
IMG_20250922_175230.jpg,2.16,2.390625,0.23062499999999986
IMG_20250922_175232.jpg,2.17,2.2265625,0.05656250000000007
